title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Ghost in the Shell: Stand Alone Complex,TV,26,R - 17+ (violence & profanity),8.46,124.0,273,252003,6744,Fall 2002,Production I.G,"Action, Sci-Fi, Mecha, Seinen"
Mahou Shoujo Madoka★Magica,TV,12,PG-13 - Teens 13 or older,8.46,125.0,50,635296,34352,Winter 2011,Shaft,"Drama, Psychological, Thriller"
Major: World Series,OVA,2,PG-13 - Teens 13 or older,8.46,127.0,2742,18911,71,,SynergySP,"Comedy, Drama, Sports"
Major S6,TV,25,PG-13 - Teens 13 or older,8.46,127.0,1985,33211,307,Spring 2010,SynergySP,"Comedy, Drama, Sports"
Mobile Suit Gundam: The Origin,OVA,6,R+ - Mild Nudity,8.46,128.0,2189,28224,240,,Sunrise,"Action, Sci-Fi, Mecha, Shounen"
Mononoke,TV,12,R - 17+ (violence & profanity),8.46,129.0,664,126093,3700,Summer 2007,Toei Animation,"Mystery, Historical, Horror, Psychological, Fantasy, Seinen"
Shokugeki no Souma: Ni no Sara,TV,13,PG-13 - Teens 13 or older,8.46,130.0,127,392336,2322,Summer 2016,J.C.Staff,Shounen
Uchuu Senkan Yamato 2199,OVA,26,PG-13 - Teens 13 or older,8.46,131.0,1282,63676,1228,,"Xebec, AIC","Action, Sci-Fi, Drama"
Kenpuu Denki Berserk,TV,25,R+ - Mild Nudity,8.45,132.0,210,302027,12562,Fall 1997,OLM,"Action, Adventure, Drama, Fantasy, Horror, Romance, Seinen"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,PG-13 - Teens 13 or older,8.45,133.0,763,113601,403,,Shaft,"Drama, Psychological, Thriller"
Romeo no Aoi Sora,TV,33,PG-13 - Teens 13 or older,8.45,134.0,2528,22086,318,Winter 1995,Nippon Animation,"Adventure, Drama, Historical, Slice of Life"
Psycho-Pass,TV,22,R - 17+ (violence & profanity),8.45,134.0,29,751118,24112,Fall 2012,Production I.G,"Action, Psychological, Sci-Fi"
Tonari no Totoro,Movie,1,G - All Ages,8.45,135.0,118,404788,4194,,Studio Ghibli,"Adventure, Comedy"
Boku no Hero Academia,TV,13,PG-13 - Teens 13 or older,8.44,137.0,27,763973,19712,Spring 2016,Bones,"Action, Comedy, Shounen"
Evangelion: 2.0 You Can (Not) Advance,Movie,1,PG-13 - Teens 13 or older,8.44,138.0,295,235868,2176,,Khara,"Action, Sci-Fi, Mecha"
Fate/Zero,TV,13,R - 17+ (violence & profanity),8.44,139.0,43,666060,21019,Fall 2011,ufotable,"Action, Fantasy"
Katanagatari,TV,12,R - 17+ (violence & profanity),8.44,139.0,228,285735,7786,Winter 2010,White Fox,"Action, Adventure, Historical, Romance"
Kino no Tabi: The Beautiful World,TV,13,R - 17+ (violence & profanity),8.44,140.0,560,146987,4620,Spring 2003,A.C.G.T.,"Action, Adventure, Slice of Life, Psychological"
Magi: The Kingdom of Magic,TV,25,PG-13 - Teens 13 or older,8.44,142.0,140,372549,5561,Fall 2013,A-1 Pictures,"Action, Adventure, Fantasy, Shounen"
Megalo Box,TV,13,R - 17+ (violence & profanity),8.44,143.0,855,102178,324,Spring 2018,TMS Entertainment,"Action, Drama, Sci-Fi, Shounen, Slice of Life, Sports"
Owarimonogatari,TV,12,R - 17+ (violence & profanity),8.44,144.0,393,192246,1178,Fall 2015,Shaft,"Mystery, Comedy"
Sakamichi no Apollon,TV,12,PG-13 - Teens 13 or older,8.44,145.0,390,192993,4600,Spring 2012,"Tezuka Productions, MAPPA","Drama, Josei, Music, Romance"
Shirobako,TV,24,PG-13 - Teens 13 or older,8.44,146.0,325,222690,4590,Fall 2014,P.A. Works,"Comedy, Drama"
Steins;Gate: Oukoubakko no Poriomania,Special,1,PG-13 - Teens 13 or older,8.44,146.0,328,221373,554,,White Fox,"Sci-Fi, Comedy, Thriller"
